Timestamp for sample frequency every 1 min min, Temperature_Celsius,Relative_Humidity
2025-11-20 13:36:00,-14.8,52.5
2025-11-20 13:37:00,-14.8,52.1
2025-11-20 13:38:00,-14.8,51.7
2025-11-20 13:39:00,-14.9,51.3
2025-11-20 13:40:00,-14.9,51
2025-11-20 13:41:00,-14.9,50.7
2025-11-20 13:42:00,-15,50.4
2025-11-20 13:43:00,-15,50.2
2025-11-20 13:44:00,-15.1,49.9
2025-11-20 13:45:00,-15.2,49.7
2025-11-20 13:46:00,-15.3,49.5
2025-11-20 13:47:00,-15.4,49.3
2025-11-20 13:48:00,-15.5,49.2
2025-11-20 13:49:00,-15.6,49
2025-11-20 13:50:00,-15.7,48.8
2025-11-20 13:51:00,-15.9,48.7
