Timestamp for sample frequency every 1 min min, Temperature_Celsius,Relative_Humidity
2025-11-20 13:36:00,3.5,37
2025-11-20 13:37:00,3.5,37.5
2025-11-20 13:38:00,3.6,38
2025-11-20 13:39:00,3.6,38.4
2025-11-20 13:40:00,3.6,38.8
2025-11-20 13:41:00,3.6,39.1
2025-11-20 13:42:00,3.7,39.3
2025-11-20 13:43:00,3.7,39.6
2025-11-20 13:44:00,3.7,39.8
2025-11-20 13:45:00,3.8,40
2025-11-20 13:46:00,3.8,40.1
2025-11-20 13:47:00,3.9,40.3
2025-11-20 13:48:00,3.9,40.4
2025-11-20 13:49:00,4,40.6
2025-11-20 13:50:00,4.1,40.7
2025-11-20 13:51:00,4.1,40.9
